cdf,decode_time_execution_plus_preemption_normalized,replica
0.66,0.01032263127295216,3
0.67,0.010330763616668532,3
0.68,0.010337818564322452,3
0.6900000000000001,0.010338409135601655,3
0.7000000000000001,0.010338999706880857,3
0.71,0.01033959027816006,3
0.72,0.010341537099884229,3
0.73,0.010344501109442125,3
0.74,0.01034746511900002,3
0.75,0.010350429128557916,3
0.76,0.01037186799275954,3
0.77,0.010393306856961163,3
0.78,0.010414745721162785,3
0.79,0.010430472809393704,3
0.8,0.01043858419633035,3
0.81,0.010446695583266996,3
0.8200000000000001,0.010454806970203642,3
0.8300000000000001,0.01046585575578246,3
0.84,0.01047739410780164,3
0.85,0.01048893245982082,3
0.86,0.010501719633189516,3
0.87,0.01051762885993201,3
0.88,0.010533538086674505,3
0.89,0.010549447313416999,3
0.9,0.010559051841634616,3
0.91,0.010566134490442284,3
0.92,0.010573217139249951,3
0.93,0.010586589141878537,3
0.9400000000000001,0.010637697267432633,3
0.9500000000000001,0.010688805392986729,3
0.96,0.010739913518540825,3
0.97,0.010764647353136205,3
0.98,0.01076960046951255,3
0.99,0.010774553585888892,3
1.0,0.010779506702265237,3
